index,prediction
1025,156.0 grams
1026,16.0 ounces
1028,500 grams
1036,12.0 fluid ounces
1039,1.500 liters
1046,500 grams
1052,24.0 fluid ounces
1058,12.0 ounces
1061,10.0 kilograms
1062,0.2 ounces
1068,4.5 ounces
1082,5.5 kilograms
1089,11.0 pounds
1093,12.0 fluid ounces
1098,1.0 pound
1099,28.0 grams
1100,10.6 pounds
1103,14.0 fluid ounces
1110,8.4 fluid ounces
1123,2.9 kilograms
1129,
1145,
1147,0.1 grams
1155,8.4 fluid ounces
1169,3.0 ounces
1175,3.5 ounces
1176,310 grams
1180,2.2 fluid ounces
1181,2.3 fluid ounces
1185,7.0 gallons
1210,
1211,
1214,14.5 ounces
1217,115 grams
1218,
1223,0.6 kilograms
1225,11 grams
1233,28.0 grams
1240,10.0 ounces
1241,2.0 fluid ounces
1245,4.0 ounces
1250,12.0 fluid ounces
1253,203 grams
1254,3.3 kilograms
1259,12.0 fluid ounces
1265,16.9 fluid ounces
1271,2.5 pounds
1273,8.4 fluid ounces
1281,34.22 ounces
1282,0.6 pounds
1283,250.0 milliliters
1284,
1289,8.0 pounds
1290,170 grams
1293,4.0 ounces
1302,5.3 ounces
1309,22.45 kilograms
1310,7.0 ounces
1320,11.0 grams
1323,12.0 fluid ounces
1326,3.1 ounces
1327,1.5 liters
1330,9.0 kilograms
1332,4.5 ounces
1339,3.5 pounds
1341,0.11 ounces
1346,
1349,12.0 ounces
1350,16.0 ounces
1351,1.0 pound
1363,
1367,12.0 ounces
1369,0.75 ounces
1384,
1390,500 grams
1392,4.0 fluid ounces
1398,16.9 fluid ounces
1400,1.8 kilograms
1407,497.0 grams
1412,0.5 grams
1414,1.5 kilograms
1416,60 pounds
1421,850 grams
1425,
1438,1.6 kilograms
1444,0.5 kilograms
1448,11.0 kilograms
1450,24.0 grams
1458,3.25 pounds
1459,5.5 pounds
1467,6.0 ounces
1468,3.5 pounds
1498,8.82 ounces
1503,2.4 kilograms
1504,90.0 grams
1506,218 grams
1516,14.3 ounces
1525,
1527,20.0 grams
1528,14.0 ounces
1531,2.1 ounces
1535,5.0 kilograms
1541,16.5 ounces
1542,500 milliliters
1548,
1553,
1554,8.0 ounces
1560,500 grams
1571,1.6 kilograms
1572,113 grams
1574,27.2 grams
1580,1.5 kilograms
1581,1.5 kilograms
1595,20.0 milliliters
1604,
1618,
1620,52.0 grams
1623,3.0 grams
1624,12.0 ounces
1631,22.0 kilograms
1632,1.75 ounces
1634,1 pound
1637,12.0 ounces
1666,12.0 fluid ounces
1667,3.5 ounces
1675,8.0 fluid ounces
1681,3.0 ounces
1682,125 grams
1689,
1696,18.7 kilograms
1705,4.0 ounces
1715,0.99 kilograms
1716,11.0 fluid ounces
1717,
1724,
1727,250.0 kilograms
1732,3.0 ounces
1743,11.5 ounces
1751,950 grams
1764,
1767,16.3 kilograms
1770,
1774,1 kilogram
1775,2.1 ounces
1790,10.0 ounces
1798,15 ounces
1803,
1806,450 grams
1815,7.0 ounces
1817,3.0 ounces
1820,5.0 pounds
1838,406 grams
1845,
1857,800 milliliters
1863,
1866,7.7 pounds
1874,0.5 kilograms
1877,0.4 grams
1884,0.3 kilograms
1891,2.9 pounds
1895,12.0 ounces
1912,500.0 kilograms
1917,
1918,300 grams
1923,200 grams
1924,11.2 fluid ounces
1926,0.8 liters
1933,1.1 kilograms
1937,
1939,2.5 ounces
1942,1.5 liters
1948,4.2 ounces
1949,
1953,910 grams
1956,
1962,12.0 ounces
1974,10.0 ounces
1978,18.0 ounces
1983,61 pounds
1984,22.0 ounces
1999,0.8 grams
2005,0.5 pounds
2013,11.4 fluid ounces
2014,1.6 pounds
2016,100 grams
2023,
2027,0.5 grams
2028,0.1 grams
2033,7.0 ounces
2041,2.0 ounces
2042,12.3 kilograms
2047,5.0 pounds
2048,50.0 grams
2056,2.0 ounces
2065,8.2 ounces
2066,12.5 liters
2070,
2083,16 ounces
2084,1.65 pounds
2085,3.52 ounces
2091,236 grams
2094,
2096,4.5 pounds
2101,1.7 ounces
2102,
2103,0.475 kilograms
2110,21 ounces
2113,5.5 pounds
2125,45.0 grams
2130,250.0 grams
2141,1.5 kilograms
2143,500 grams
2151,0.5 pounds
2159,16.0 ounces
2165,17.0 grams
2172,0.5 kilograms
2181,
2185,500 milliliters
2187,14.75 ounces
2188,0.1 grams
2205,4.0 ounces
2207,75.0 grams
2208,12.0 milliliters
2211,
2212,15.0 pounds
2219,10.71 pounds
2224,3.5 pounds
2229,23.04 pounds
2236,
2239,3.3 pounds
2257,
2262,16.0 ounces
2263,8.2 pounds
2269,8.8 kilograms
2277,170 grams
2282,5.5 pounds
2293,
2297,1.41 pounds
2298,0.10 fluid ounces
2302,48.0 fluid ounces
2304,50 grams
2305,300 grams
2307,53 grams
2313,1.0 pound
2315,7.1 ounces
2318,2.0 ounces
2319,12.0 ounces
2321,
2331,830 milliliters
2336,60.0 grams
2340,453.6 grams
2345,0.2 grams
2356,1.89 pounds
2358,90.0 ounces
2359,5.29 ounces
2368,6.6 pounds
2373,
2377,0.1 ounces
2378,1.8 pounds
2383,1.0 gram
2386,12.0 ounces
2398,58.0 pounds
2399,12.0 grams
2406,1 pound
2411,2.1 kilograms
2419,30.0 grams
2421,
2422,
2430,12.0 fluid ounces
2438,6.5 kilograms
2439,343.0 grams
2449,780 grams
2459,59.0 pounds
2462,4.0 ounces
2467,
2479,12.0 ounces
2487,5.0 grams
2495,64.0 ounces
2505,5.0 ounces
2508,2.0 ounces
2512,200.0 milliliters
2513,6 ounces
2514,155.0 ounces
2524,12.0 ounces
2525,60.0 grams
2527,
2528,106 pounds
2532,250.0 grams
2539,500 grams
2550,
2553,4.0 ounces
2558,65 grams
2561,1.5 kilograms
2562,6.7 ounces
2564,105 grams
2573,4.9 ounces
2577,3.0 pounds
2580,22.0 kilograms
2581,12.9 ounces
2582,6.0 grams
2586,1.4 kilograms
2590,0.32 ounces
2600,7 grams
2603,300.0 grams
2611,
2627,130.0 grams
2641,3.0 ounces
2648,0.5 pounds
2651,0.51 grams
2652,600 pounds
2654,9.0 fluid ounces
2663,3.0 ounces
2664,1.0 ounce
2667,1.8 pounds
2672,1.5 pounds
2683,4.2 pounds
2687,
2692,10.0 ounces
2697,2 pounds
2699,3.0 ounces
2708,275 grams
2710,0.5 kilograms
2720,113.0 grams
2724,12.0 fluid ounces
2735,3.5 pounds
2747,250.0 grams
2751,4.0 ounces
2752,50.0 grams
2754,1.0 ounce
2760,1.0 ounce
2765,5.5 ounces
2766,340 grams
2772,
2775,0.95 grams
2777,
2783,
2784,8.0 ounces
2795,5.0 pounds
2798,227.0 grams
2810,3.2 ounces
2817,4.0 pounds
2830,4.41 ounces
2832,500 grams
2839,39.0 grams
2842,2.5 ounces
2847,72.0 grams
2850,20.0 milliliters
2860,2.0 pounds
2861,0.1 grams
2865,8.0 ounces
2871,2.29 ounces
2875,75.0 grams
2877,10.8 kilograms
2881,11.5 kilograms
2885,1 pound
2888,
2892,100.0 grams
2898,500 grams
2899,8.0 ounces
2901,
2904,
2916,8.8 ounces
2926,1.0 pound
2934,450 grams
2946,2.4 pounds
2953,0.1 grams
2959,12.0 ounces
2965,
2970,12.0 ounces
2977,10.0 pounds
2978,16.0 pounds
2980,410 grams
2983,
2993,
3003,12.0 fluid ounces
3007,1.5 kilograms
3014,0.2 kilograms
3028,16.0 ounces
3031,
3036,300.0 grams
3045,1.76 pounds
3047,2.5 ounces
3048,4.5 pounds
3050,64.6 ounces
3055,108 pounds
3056,1.5 pounds
3061,180 kilograms
3062,500 grams
3063,
3068,12.0 ounces
3069,
3073,8.0 ounces
3078,
3089,10.0 ounces
3091,0.8 pounds
3094,16.0 ounces
3097,0.5 kilograms
3098,5.8 grams
3110,16.0 fluid ounces
3112,45.0 grams
3114,16.0 ounces
3115,12.0 fluid ounces
3117,16.30 ounces
3121,
3127,30.0 pounds
3130,1.0 ounce
3139,30.0 ounces
3147,7.0 ounces
3148,8.0 ounces
3150,105 grams
3159,880 grams
3163,
3167,16.2 ounces
3175,
3183,1.5 kilograms
3190,12.0 ounces
3197,2.1 pounds
3200,180.0 grams
3204,0.1 kilograms
3214,500 grams
3217,0.21 kilograms
3219,
3220,1.5 pounds
3221,675 grams
3225,50.0 pounds
3226,
3241,7.56 kilograms
3246,35.0 kilograms
3250,1 fluid ounce
3251,20.0 milliliters
3252,10 fluid ounces
3261,5.0 kilograms
3270,2.5 pounds
3278,1.36 kilograms
3281,8.0 fluid ounces
3284,16.9 fluid ounces
3290,167.6 pounds
3293,6.3 ounces
3302,
3316,16.9 ounces
3323,300 grams
3324,24.0 kilograms
3331,60 pounds
3335,11.73 pounds
3336,4.0 pounds
3337,25.0 pounds
3344,5 kilograms
3346,2.0 ounces
3356,
3360,1.5 kilograms
3368,5.5 ounces
3369,0.1 grams
3371,2.2 pounds
3377,
3382,50 pounds
3391,12.0 ounces
3393,0.1 grams
3406,210 grams
3412,30.0 pounds
3413,32.0 ounces
3440,
3443,164.56 ounces
3447,
3451,12.0 fluid ounces
3452,
3455,63 pounds
3456,
3459,32.0 ounces
3460,
3461,24.0 fluid ounces
3464,1.5 kilograms
3466,
3477,5.0 pounds
3480,0.5 kilograms
3481,1.0625 pounds
3484,
3500,
3518,0.5 kilograms
3523,250 milliliters
3524,1.2 ounces
3528,12.0 ounces
3533,8.0 ounces
3539,10.0 ounces
3550,1.0 pound
3551,8.0 grams
3552,5.0 grams
3555,1.454 pounds
3563,1.2 kilograms
3565,17.5 pounds
3566,5.0 pounds
3568,21.2 grams
3580,8.0 pounds
3586,235 grams
3588,32.0 fluid ounces
3597,12.0 ounces
3598,15.12 pounds
3604,30.0 pounds
3611,8 ounces
3618,7.5 ounces
3619,
3620,20.8 kilograms
3629,7.5 ounces
3633,48.0 grams
3643,3.4 ounces
3649,13.0 kilograms
3650,16.0 ounces
3651,31.0 kilograms
3656,5.5 kilograms
3662,32.0 ounces
3668,16.9 fluid ounces
3680,5.0 ounces
3692,1.0 pound
3693,150.0 grams
3700,2.56 pounds
3707,
3708,4.5 ounces
3710,16.0 ounces
3723,
3724,2.0 pounds
3727,2.3 kilograms
3730,8.0 ounces
3732,211 grams
3738,20.0 grams
3740,12.0 ounces
3746,50 grams
3751,12.3 ounces
3766,1.5 kilograms
3770,6.8 ounces
3774,560 grams
3775,2.2 ounces
3780,12.0 fluid ounces
3783,14.5 grams
3786,13.0 pounds
3790,
3794,8.0 ounces
3820,
3824,12.0 ounces
3827,150 grams
3838,12.0 ounces
3839,13.2 pounds
3842,10.0 fluid ounces
3845,69.2 kilograms
3846,1200 grams
3855,
3860,10.0 grams
3863,3.0 ounces
3875,34.0 grams
3876,2.0 pounds
3886,5.0 ounces
3890,12.0 ounces
3891,4.30 ounces
3906,18.0 ounces
3909,250.0 kilograms
3914,0.273 fluid ounces
3916,200.0 grams
3921,1.0 pound
3924,0.7 pounds
3926,71.0 grams
3927,9.25 pounds
3935,
3955,
3963,1.5 kilograms
3969,15.7 ounces
3974,28.0 pounds
3990,55.0 milliliters
3991,4.0 ounces
3992,4.0 ounces
3997,34.2 pounds
4009,5.0 pounds
4014,
4016,
4019,1.9 pounds
4029,8 fluid ounces
4046,2.4 kilograms
4050,0.1 kilograms
4058,600 pounds
4066,
4068,12.0 fluid ounces
4069,0.5 grams
4074,1.5 kilograms
4078,
4079,7.0 ounces
4090,3.4 fluid ounces
4091,16.0 ounces
4097,200 grams
4105,0.15 pounds
4106,13.0 grams
4117,156.0 grams
4119,30.0 milliliters
4127,12.0 ounces
4129,
4134,0.5 kilograms
4138,10.6 ounces
4139,220.0 pounds
4141,22.0 ounces
4142,1.4 kilograms
4149,
4153,12.0 ounces
4182,16.0 ounces
4183,2.5 kilograms
4185,0.5 grams
4191,2.5 ounces
4198,10.0 grams
4214,18.0 kilograms
4229,3.0 grams
4230,20.0 kilograms
4236,6.0 ounces
4242,16.9 fluid ounces
4244,11.2 ounces
4245,3.0 ounces
4246,1.0 kilogram
4247,500 milliliters
4248,370 grams
4256,15.0 grams
4273,2.5 kilograms
4277,
4285,
4290,5.5 pounds
4295,0.1 grams
4305,8.0 ounces
4310,60.0 grams
4316,17.0 pounds
4321,250.0 grams
4322,5.5 kilograms
4329,400 grams
4332,1.62 pounds
4334,20.0 pounds
4335,8.0 ounces
4337,
4345,4.60 pounds
4356,50.0 pounds
4357,9.0 fluid ounces
4359,1.1 kilograms
4368,1.0 pound
4369,28.0 grams
4385,1.0 kilogram
4395,500 grams
4404,12.3 kilograms
4409,285 grams
4418,2.0 ounces
4424,5.5 pounds
4425,500 milliliters
4431,1.5 ounces
4432,2.0 pounds
4435,12.0 fluid ounces
4436,
4439,
4445,0.5 kilograms
4449,5.0 ounces
4460,12.0 ounces
4461,0.5 kilograms
4465,19.5 grams
4466,6.0 ounces
4467,28.0 ounces
4475,1.5 pounds
4479,15.6 kilograms
4501,5.0 ounces
4506,750 grams
4510,90.0 kilograms
4524,5.0 ounces
4528,55.0 grams
4532,8.5 ounces
4537,150 grams
4541,5.0 pounds
4546,7.0 grams
4556,1.5 kilograms
4564,5.0 kilograms
4569,700 grams
4572,7.5 ounces
4583,0.3 kilograms
4589,6.7 kilograms
4595,
4600,227.0 grams
4603,12.0 ounces
4604,0.4 pounds
4608,3.3 pounds
4611,
4618,1.0 pound
4619,16.0 fluid ounces
4622,
4626,526.9 pounds
4627,117.9 grams
4641,4.0 ounces
4646,8.0 ounces
4650,5.5 pounds
4651,8.0 ounces
4652,
4665,
4666,11.0 fluid ounces
4670,3.4 ounces
4675,16.9 fluid ounces
4677,1.0 gram
4682,430 milliliters
4684,24.0 ounces
4687,1.7 ounces
4688,23.0 pounds
4690,200.0 grams
4701,
4705,
4710,15.0 pounds
4719,1.1 pounds
4724,5.07 ounces
4731,1.0 kilogram
4735,2.5 kilograms
4741,
4751,30.0 ounces
4752,16.3 kilograms
4757,0.5 ounces
4758,
4761,
4771,40.0 pounds
4773,200 grams
4784,0.09 grams
4788,5.8 ounces
4796,175 kilograms
4799,1.16 pounds
4804,0.2 kilograms
4810,1.2 ounces
4816,1.7 ounces
4824,50.0 grams
4835,12.0 ounces
4841,18.0 ounces
4844,8.0 ounces
4847,3.5 grams
4848,8 ounces
4851,3.86 pounds
4854,1.82 kilograms
4855,6.0 ounces
4859,27.5 grams
4870,120.0 grams
4878,
4881,1.0 pound
4883,
4895,7.0 ounces
4898,100.0 grams
4918,28.0 fluid ounces
4923,
4924,100 grams
4926,1000 grams
4928,500 grams
4929,0.5 ounces
4932,10.0 ounces
4933,8.0 ounces
4937,227.0 grams
4942,16.9 fluid ounces
4947,1.0 pound
4963,0.88 ounces
4964,0.5 kilograms
4965,25.0 grams
4966,4.2 ounces
4969,40.0 grams
4972,
4975,
4989,1.5 pounds
5003,15.0 pounds
5011,7.5 ounces
5013,1 gallon
5018,0.37 ounces
5022,1.5 kilograms
5040,
5041,
5046,10.5 ounces
5047,10.5 grams
5048,32.0 fluid ounces
5051,100 grams
5053,0.1 grams
5061,12.0 ounces
5070,1.5 kilograms
5077,12.0 ounces
5080,
5081,3.0 ounces
5084,6.0 kilograms
5097,14.0 ounces
5104,0.55 pounds
5114,
5117,0.5 grams
5127,12.0 grams
5128,2.0 ounces
5130,3.5 pounds
5145,22.0 pounds
5148,5.5 ounces
5149,56.0 kilograms
5152,8.0 ounces
5155,13.0 ounces
5171,51.0 grams
5174,350 grams
5187,19.0 kilograms
5194,330 grams
5199,0.5 kilograms
5203,65 pounds
5205,3.0 kilograms
5209,
5210,
5225,6.750 liters
5227,95.0 grams
5234,175 grams
5239,100 grams
5242,100 grams
5247,1.17 pounds
5252,0.2 kilograms
5255,14 pounds
5261,16.9 fluid ounces
5266,
5268,500 grams
5269,1.0 kilogram
5274,1.5 kilograms
5279,8.0 ounces
5289,0.5 kilograms
5293,16.4 kilograms
5295,1.0 ounce
5296,5.0 grams
5300,6.7 ounces
5301,1.5 ounces
5316,0.4 grams
5317,
5322,0.5 grams
5326,12.0 ounces
5332,3.86 pounds
5339,3.0 ounces
5344,3.8 kilograms
5345,0.5 ounces
5348,11.0 kilograms
5356,4.8 ounces
5360,27.0 pounds
5361,40.0 grams
5373,11 kilograms
5383,3.1 pounds
5387,
5392,1.9 ounces
5394,
5395,11.5 ounces
5406,31.5 grams
5410,3.5 kilograms
5411,12.0 ounces
5416,11.0 fluid ounces
5417,
5420,10.0 ounces
5422,8.7 kilograms
5428,2 pounds
5435,30.0 milliliters
5439,7.35 pounds
5442,2.91 pounds
5446,14.1 ounces
5458,
5471,350 grams
5479,
5487,
5492,8.454 ounces
5497,
5498,
5512,10.0 grams
5513,1.0 pound
5519,1.5 pounds
5535,11.0 fluid ounces
5536,32.0 fluid ounces
5548,
5550,
5559,
5574,
5582,50.0 pounds
5590,300 grams
5602,12.0 fluid ounces
5610,520 grams
5628,150 grams
5635,
5642,250 grams
5644,0.5 pounds
5650,33.0 ounces
5659,1 pound
5676,8.0 ounces
5685,15 fluid ounces
5697,0.67 ounces
5703,
5706,2.5 ounces
5707,8.4 fluid ounces
5710,12.0 ounces
5716,21.2 ounces
5717,10.0 fluid ounces
5722,
5729,50.0 pounds
5738,4.6 pounds
5743,0.1 kilograms
5749,6.0 fluid ounces
5776,43.0 pounds
5782,0.5 kilograms
5785,16.0 kilograms
5786,35.0 grams
5792,100.0 milliliters
5794,130.0 grams
5799,550 fluid ounces
5800,16.0 ounces
5805,
5808,84.5 grams
5809,
5810,2.2 ounces
5813,3.8 ounces
5826,0.2 grams
5827,7.0 ounces
5831,4.7 ounces
5838,1.5 pounds
5841,2000 grams
5846,
5848,700 milliliters
5853,0.4 kilograms
5854,300 grams
5858,2.3 kilograms
5867,
5874,
5892,150 grams
5899,454.0 grams
5901,500 grams
5909,2500 grams
5910,20.5 kilograms
5911,4.0 ounces
5921,18.0 grams
5943,1000 grams
5948,12.0 kilograms
5949,500 grams
5952,26.0 ounces
5953,2.6 ounces
5955,
5959,2.0 fluid ounces
5960,4.0 ounces
5961,6.0 fluid ounces
5962,
5972,12.0 ounces
5975,
5978,445 grams
5983,3.5 kilograms
5985,3.5 ounces
5988,57.0 pounds
5989,5.0 pounds
5996,4.0 ounces
6002,1.0 pound
6005,4.0 ounces
6023,33.8 ounces
6027,24.4 milliliters
6030,12.0 ounces
6031,0.5 ounces
6032,24.0 fluid ounces
6035,1.41 kilograms
6037,0.5 pounds
6061,75.0 grams
6063,12.0 liters
6072,4.0 grams
6073,250 milliliters
6079,33.0 ounces
6081,40.0 grams
6086,90 grams
6089,300 grams
6090,25.0 ounces
6092,500 milliliters
6094,1.0 pound
6096,12.0 ounces
6100,1.80 kilograms
6113,12.0 grams
6115,51 pounds
6118,
6120,
6126,10.5 ounces
6131,503.0 grams
6138,0.43 kilograms
6143,
6151,250.0 kilograms
6155,8.0 ounces
6158,1.0 pound
6172,11.16 fluid ounces
6185,100.0 grams
6186,1.5 kilograms
6187,2.5 pounds
6207,5.5 pounds
6215,2.7 fluid ounces
6216,1.2 kilograms
6217,0.05 ounces
6228,
6230,1.8 kilograms
6238,8.0 fluid ounces
6239,
6241,115 grams
6244,12.0 fluid ounces
6247,
6257,1000 grams
6259,30.0 pounds
6260,6.5 pounds
6261,1 pound
6264,3.5 kilograms
6270,1.0 liter
6278,15.0 pounds
6281,8.0 ounces
6287,4.0 grams
6289,1.4 ounces
6292,1.28 pounds
6293,5.0 pounds
6297,11.4 kilograms
6301,
6304,
6310,0.31 pounds
6314,95.0 grams
6315,32.0 fluid ounces
6316,235 grams
6321,295.5 grams
6323,0.1 kilograms
6329,
6334,2.6 fluid ounces
6339,500 milliliters
6342,0.0 pounds
6352,1.026 grams
6353,4.7 ounces
6354,5.25 ounces
6355,8.0 ounces
6363,12 fluid ounces
6364,100 grams
6365,16.0 ounces
6367,140 grams
6369,1.5 kilograms
6385,50.0 grams
6398,400 grams
6400,10.0 kilograms
6402,0.76 kilograms
6408,100.0 milliliters
6409,400 grams
6410,14.0 ounces
6416,82.0 grams
6422,26.45 ounces
6435,16.9 fluid ounces
6441,352.0 pounds
6447,3.8 ounces
6448,13.6 pounds
6453,2.0 pounds
6456,35.6 kilograms
6474,100 grams
6476,68.0 pounds
6484,10.5 kilograms
6490,8.0 ounces
6494,12.0 fluid ounces
6495,1.0 pound
6498,18.0 ounces
6499,
6505,8 ounces
6512,
6514,300 milliliters
6522,
6532,
6533,2.0 ounces
6534,2.0 pounds
6536,22.0 liters
6537,12.0 fluid ounces
6543,7.0 ounces
6544,4.5 ounces
6548,14.0 ounces
6553,11.0 ounces
6554,17.6 ounces
6555,0.39 pounds
6560,33.0 ounces
6575,
6577,20.0 pounds
6587,4.0 ounces
6602,12.0 ounces
6605,2.0 pounds
6608,16.0 ounces
6609,8.0 ounces
6610,13.0 ounces
6611,15.9 pounds
6613,1.5 pounds
6625,11.0 fluid ounces
6632,
6635,0.84 pounds
6638,
6649,50.0 grams
6664,11.0 ounces
6672,17.6 ounces
6674,4.0 ounces
6675,
6681,
6684,
6688,22.5 pounds
6695,2.0 pounds
6698,13.75 ounces
6714,10.0 ounces
6715,2.0 ounces
6720,29.0 grams
6731,
6736,11.5 kilograms
6754,
6755,8.0 fluid ounces
6756,12.0 fluid ounces
6759,1.9 kilograms
6770,
6774,2.3 pounds
6779,200 grams
6780,1.4 ounces
6781,1.0 ounce
6782,40.0 pounds
6786,16.0 ounces
6787,8.0 ounces
6793,1600 ounces
6795,
6801,12.0 fluid ounces
6804,0.1 grams
6808,
6816,7.05 ounces
6834,3.0 kilograms
6837,10.6 ounces
6845,16 ounces
6846,8.5 ounces
6856,16.9 fluid ounces
6863,
6867,1.6 ounces
6869,6.4 ounces
6874,4.0 ounces
6876,600 milliliters
6881,250 grams
6884,24.0 ounces
6885,3.5 kilograms
6887,24.1 fluid ounces
6888,
6897,24.1 fluid ounces
6902,
6904,0.5 kilograms
6913,
6915,15.0 milliliters
6922,6.0 pounds
6923,24.0 kilograms
6926,700 grams
6934,136.0 grams
6937,
6940,2.0 pounds
6943,0.41 pounds
6948,1.5 pounds
6951,
6955,0.1 grams
6958,3.5 ounces
6959,5.0 ounces
6965,300 grams
6966,16.6 ounces
6970,
6971,2.0 pounds
6987,18.5 kilograms
6993,1.1 pounds
7001,
7002,90.0 grams
7003,
7007,28.0 grams
7015,10.0 ounces
7017,8.8 ounces
7018,4.0 ounces
7023,12.17 ounces
7049,9.6 ounces
7059,24.0 ounces
7073,0.5 grams
7076,
7081,16 ounces
7086,11.35 pounds
7087,1000 grams
7092,230.0 grams
7098,
7103,2.0 ounces
7113,250 milliliters
7114,
7118,7.0 ounces
7121,10.0 pounds
7122,4.4 pounds
7127,2.0 ounces
7128,1.7 pounds
7136,3.1 pounds
7143,
7150,10 pounds
7156,12.0 ounces
7158,500 grams
7162,1.0 pound
7166,6.0 ounces
7171,4.2 ounces
7177,12.0 ounces
7187,2.9 kilograms
7190,180 grams
7191,1.5 ounces
7200,7.65 ounces
7220,296.0 milliliters
7232,23.0 kilograms
7236,8.0 ounces
7238,200 grams
7242,8.0 ounces
7251,
7253,454.0 grams
7257,3.2 ounces
7263,250.0 grams
7264,150 grams
7271,4.0 ounces
7274,4.0 ounces
7276,1.5 kilograms
7282,
7286,32.0 ounces
7291,1.5 kilograms
7298,12.0 ounces
7305,13.0 kilograms
7309,
7310,30.0 liters
7315,500 grams
7326,200 grams
7327,4.0 ounces
7330,21.5 kilograms
7334,250.0 grams
7346,1.5 kilograms
7351,698 grams
7358,3.2 ounces
7365,37.0 grams
7368,8.0 ounces
7371,
7373,4.5 ounces
7374,1.0 kilogram
7376,46.0 pounds
7379,1.4 kilograms
7387,2.0 ounces
7388,
7392,1.5 kilograms
7395,
7405,18.0 milliliters
7408,1.5 kilograms
7416,500 grams
7417,16.4 kilograms
7419,12.0 ounces
7436,7.0 ounces
7437,1.6 kilograms
7438,12.0 fluid ounces
7439,7.4 ounces
7442,1.6 kilograms
7453,43.0 pounds
7470,0.5 grams
7477,
7487,200 grams
